id,name,beds,rent,address1,slug,url,region,company,address2,postal_code,view_on_map_url,city,location,phone
0,1 Bedroom,1.0,1310.0,880 Colborne Rd.,sarnia,https://rentals.ca/sarnia/880-colborne-rd,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7V 3K3,https://rentals.ca/sarnia/apartments?active-listing-id=702173,6141190,"{'lat': 42.988632, 'lng': -82.388633, 'x': -82.388633, 'y': 42.988632}",(226) 784-2295
0,1 Bedroom,1.0,1315.0,230 Forsyth Street North,sarnia,https://rentals.ca/sarnia/230-forsyth-street-north,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7T 6E2,https://rentals.ca/sarnia/apartments?active-listing-id=713946,6141190,"{'lat': 42.974893, 'lng': -82.400141, 'x': -82.400141, 'y': 42.974893}",(226) 784-5414
0,1 Bedroom,1.0,1340.0,"811, 817, 835 & 849 Devine Street",sarnia,https://rentals.ca/sarnia/devine-street-apartments,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7T 1X3,https://rentals.ca/sarnia/apartments?active-listing-id=507133,6141190,"{'lat': 42.963998, 'lng': -82.3813, 'x': -82.3813, 'y': 42.963998}",(226) 784-2312
0,1 Bedroom,1.0,1399.0,56/64 Finch Drive,sarnia,https://rentals.ca/sarnia/nottingham-towers,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7S 4T6,https://rentals.ca/sarnia/apartments?active-listing-id=310578,6141190,"{'lat': 42.969421, 'lng': -82.353653, 'x': -82.353653, 'y': 42.969421}",(226) 784-1785
0,1 Bedroom,1.0,1399.0,1148/1150 Afton Drive,sarnia,https://rentals.ca/sarnia/woodstone-apartments,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7S 5B7,https://rentals.ca/sarnia/apartments?active-listing-id=310577,6141190,"{'lat': 42.975309, 'lng': -82.363313, 'x': -82.363313, 'y': 42.975309}",(226) 784-1876
0,1 Bedroom,1.0,1420.0,875 Colborne Rd.,sarnia,https://rentals.ca/sarnia/875-colborne-rd,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7V 3K1,https://rentals.ca/sarnia/apartments?active-listing-id=702171,6141190,"{'lat': 42.98808, 'lng': -82.389129, 'x': -82.389129, 'y': 42.98808}",(226) 784-5390
0,0 Bedroom,0.0,1425.0,131 Maxwell Street,sarnia,https://rentals.ca/sarnia/131-maxwell-street,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7T 5T2,https://rentals.ca/sarnia/apartments?active-listing-id=679841,6141190,"{'lat': 42.980666, 'lng': -82.406777, 'x': -82.406777, 'y': 42.980666}",(226) 778-4203
0,1 Bedroom,1.0,1450.0,225 & 233 Capel Street,sarnia,https://rentals.ca/sarnia/kingsway-queensway-apartments,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7T 6T6,https://rentals.ca/sarnia/apartments?active-listing-id=735384,6141190,"{'lat': 42.986233, 'lng': -82.390945, 'x': -82.390945, 'y': 42.986233}",(226) 784-5464
0,1 Bedroom,1.0,1465.0,125 College Ave. S.,sarnia,https://rentals.ca/sarnia/125-college-ave-s,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7T 2Z5,https://rentals.ca/sarnia/apartments?active-listing-id=709088,6141190,"{'lat': 42.969675, 'lng': -82.401971, 'x': -82.401971, 'y': 42.969675}",(226) 784-2313
0,1 Bedroom,1.0,1465.0,176 Vidal Street South,sarnia,https://rentals.ca/sarnia/176-vidal-street-south,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7T 2T6,https://rentals.ca/sarnia/apartments?active-listing-id=566938,6141190,"{'lat': 42.968, 'lng': -82.405562, 'x': -82.405562, 'y': 42.968}",(226) 778-2725
0,1 Bedroom,1.0,1465.0,269 & 275 Finch Drive,sarnia,https://rentals.ca/sarnia/finchgate-apartments,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7S 5A2,https://rentals.ca/sarnia/apartments?active-listing-id=621704,6141190,"{'lat': 42.961427, 'lng': -82.352661, 'x': -82.352661, 'y': 42.961427}",(226) 784-1927
0,1 Bedroom,1.0,1490.0,200 London Rd.,sarnia,https://rentals.ca/sarnia/london-road-apartments,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7T 7S9,https://rentals.ca/sarnia/apartments?active-listing-id=735068,6141190,"{'lat': 42.97867, 'lng': -82.402031, 'x': -82.402031, 'y': 42.97867}",(226) 784-5307
1,2 Bedroom,2.0,1530.0,"811, 817, 835 & 849 Devine Street",sarnia,https://rentals.ca/sarnia/devine-street-apartments,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7T 1X3,https://rentals.ca/sarnia/apartments?active-listing-id=507133,6141190,"{'lat': 42.963998, 'lng': -82.3813, 'x': -82.3813, 'y': 42.963998}",(226) 784-2312
0,1 Bedroom,1.0,1535.0,"351, 361, 369 London Road",sarnia,https://rentals.ca/sarnia/351-361-369-london-road,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7T 4W4,https://rentals.ca/sarnia/apartments?active-listing-id=679842,6141190,"{'lat': 42.97767, 'lng': -82.395439, 'x': -82.395439, 'y': 42.97767}",(226) 784-2353
0,1 Bedroom,1.0,1535.0,368 Exmouth Street,sarnia,https://rentals.ca/sarnia/dorchester-apartments,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7T 7R2,https://rentals.ca/sarnia/apartments?active-listing-id=735094,6141190,"{'lat': 42.985821, 'lng': -82.39513, 'x': -82.39513, 'y': 42.985821}",(226) 784-5422
0,1 Bedroom,1.0,1550.0,396 Exmouth St.,sarnia,https://rentals.ca/sarnia/elkhart-manor,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7T 5N6,https://rentals.ca/sarnia/apartments?active-listing-id=735085,6141190,"{'lat': 42.98572, 'lng': -82.391416, 'x': -82.391416, 'y': 42.98572}",(226) 778-2537
0,1 Bedroom,1.0,1555.0,1202 Pontiac Court,sarnia,https://rentals.ca/sarnia/pontiac-court-lowrise,"{'id': 6093943, 'code': 'ON', 'name': 'Ontario'}",,,N7S 4T9,https://rentals.ca/sarnia/apartments?active-listing-id=540514,6141190,"{'lat': 42.985004, 'lng': -82.363484, 'x': -82.363484, 'y': 42.985004}",(226) 778-0741
